question,contexts,ground_truth,answer
"У нас разные компании используют разные печатные формы для одних и тех же документов, как это обработать  в скан-архив. ","['\n                4.2\tНастройка правил распознавания\n                Перед началом работы необходимо настроить правила распознавания и обработки сканов, или загрузить уже готовые правила. Эти правила применяются как для загрузки данных из скан-образов (сканированные документы), так и для загрузки данных из табличных документов (формат Excel, OpenDocument, mxl).\n                \n                В поставку СЗД входит файл «ПравилаОбработки.xml», содержащий правила обработки типовых печатных форм «ТОРГ-12», «Счет-фактура» и «Универсальный передаточный документ». Для загрузки готовых правил необходимо нажать кнопку «…» в поле «Правила обработки» и выбрать файл xml, содержащий описание правил.\n\n                Для создания новых правил или изменения существующих правил в подменю «Настройки» выберите пункт меню «Настройка параметров обработки» (см. также следующий параграф).\n\n                Откроется форма для настройки правил. Если файл с правилами не указан, откроется пустая форма (Рис. 21), иначе — форма со списком печатных форм и правил их обработки (Рис. 22).\n\n                \n                Рис. 21\t \n                Рис. 22\n\n                Обратите внимание, что список печатных форм – иерархический, имеет два уровня (Рис. 23). На первом уровне находится название печатной формы – например, «ТОРГ-12». Второй уровень соответствует различным вариантам печатной формы. Такое разделение связано с тем, что одна и та же (с точки зрения учёта) печатная форма у разных организаций (или даже у одной организации, но по различным видам деятельности) может существовать в отличающихся форматах (альбомная или книжная ориентация, разное расположение информационных полей и т.п.). Поэтому распознавание для разных вариантов одной и той же печатной формы может потребовать различных настроек. Правила обработки задаются именно для вариантов печатной формы.\n\n                Для добавления правил обработки   нового типа   печатных   форм   необходимо   нажать кнопку\n                «Добавить».\n\n                Для изменения правил обработки уже имеющейся в списке печатной формы необходимо выбрать в списке нужный вариант печатной формы (т.е. элемент на втором уровне иерархии) и дважды щёлкнуть на нему мышью (Рис. 23).\n\n        ']","
        1. Для создания новых правил или изменения существующих правил в подменю «Настройки» выберите пункт меню «Настройка параметров обработки» 
        2. Откроется форма для настройки правил. Если файл с правилами не указан, откроется пустая форма (Рис. 21), иначе — форма со списком печатных форм и правил их обработки.
        список печатных форм – иерархический, имеет два уровня. На первом уровне находится название печатной формы – например, «ТОРГ-12». Второй уровень соответствует различным вариантам печатной формы. Такое разделение связано с тем, что одна и та же (с точки зрения учёта) печатная форма у разных организаций (или даже у одной организации, но по различным видам деятельности) может существовать в отличающихся форматах (альбомная или книжная ориентация, разное расположение информационных полей и т.п.). Поэтому распознавание для разных вариантов одной и той же печатной формы может потребовать различных настроек. Правила обработки задаются именно для вариантов печатной формы.
        3. Для добавления правил обработки   нового типа   печатных   форм   необходимо   нажать кнопку
        «Добавить».

        ","Для обработки разных печатных форм разных компаний в скан-архиве необходимо учитывать следующие технические требования: сканер должен поддерживать разрешение не ниже 300 dpi и форматы JPG, PNG, BMP, TIF, а также PDF и TIFF для многостраничных сканов. Допускаются также электронные документы в различных форматах. Важно, чтобы файлы PDF содержали только изображение сканирования, без текста и других элементов."
Что за файлы лежат в папке с программой  в скан-архив. ,"['\n            Поставка программы «Скан-Загрузка документов» включает в себя:\n                    •\tВнешние обработки для «1С:Предприятия 8».\n                    o\tСканЗагрузка.epf — основная обработка СЗД.\n                    o\tСканЗагрузка_Фреш.epf — версия обработки для работы в модели сервиса (Фреш).\n                    o\tБРС_ПросмотрСканОбраза.epf — обработка для просмотра сканов, прикреплённых к конкретному документу в базе. Используется при применении режима сохранения обработанных сканов в БРС (см. параграф «6.2.5 Просмотр прикреплённых сканов»).\n                    o\tСЗД_ЖурналОтсканированныхДокументов.epf — обработка для отображения журнала документов с пометками тех, для которых есть прикреплённые сканы. Используется при применении режима сохранения обработанных сканов в БРС (см. параграф «6.2.6 Просмотр журнала документов»).\n                    •\tБРС.dt — выгрузка базы регистрации сканов (БРС). Используется при применении режима сохранения обработанных сканов в БРС (см. параграф «6.2 Сохранение сканов в БРС»).\n                    •\tПрограммные компоненты.\n                    •\tДанное руководство пользователя.\n                    •\tФайл «ПравилаОбработки.xml» с настройками правил обработки типовых регламентированных форм (ТОРГ-12, счёт-фактура, УПД).\n                    •\tПримеры файлов для загрузки (сканы и файлы в табличном формате MS Excel и Open Office / Libre Office).\n        ']","
        Поставляются файлы:
                    •	Внешние обработки для «1С:Предприятия 8».
                        o	СканЗагрузка.epf — основная обработка СЗД.
                        o	СканЗагрузка_Фреш.epf — версия обработки для работы в модели сервиса (Фреш).
                        o	БРС_ПросмотрСканОбраза.epf — обработка для просмотра сканов, прикреплённых к конкретному документу в базе. Используется при применении режима сохранения обработанных сканов в БРС (см. параграф «6.2.5 Просмотр прикреплённых сканов»).
                        o	СЗД_ЖурналОтсканированныхДокументов.epf — обработка для отображения журнала документов с пометками тех, для которых есть прикреплённые сканы. Используется при применении режима сохранения обработанных сканов в БРС (см. параграф «6.2.6 Просмотр журнала документов»).
                    •	БРС.dt — выгрузка базы регистрации сканов (БРС). Используется при применении режима сохранения обработанных сканов в БРС (см. параграф «6.2 Сохранение сканов в БРС»).
                    •	Программные компоненты.
                    •	Данное руководство пользователя.
                    •	Файл «ПравилаОбработки.xml» с настройками правил обработки типовых регламентированных форм (ТОРГ-12, счёт-фактура, УПД).
                    •	Примеры файлов для загрузки (сканы и файлы в табличном формате MS Excel и Open Office / Libre Office).

        ","В папке с программой ""Хранитель V"" в скан-архиве будут лежать файлы, содержащие список хранящихся в архиве файлов и некоторые общие свойства архива."
Я смогу запустить скан-архив на linux ?,"['\n            Операционная система\n            На компьютере, на котором планируется работа по сканированию и загрузке документов, должна быть установлена операционная система Windows, поддерживающая .NET Framework 4.5: Windows 7 Service Pack 1; Windows Vista Service Pack 2, Windows 8, Windows 8.1, Windows Server 2008 SP2, Windows Server 2012. Полный перечень технически требований, предъявляемых платформой .NET Framework 4.5, приведён на странице Microsoft:\n            http://www.microsoft.com/ru-RU/download/details.aspx?id=30653\n\n            СЗД позволяет работать с базой в режиме удалённого подключения (Remote Desktop). Однако в режиме удалённого приложения (RemoteApp) работа СЗД не гарантируется, поскольку запуск RemoteApp может (в зависимости от настроек режима удалённого приложения) блокировать окна СЗД.\n\n        ']","
        Нет, На компьютере, на котором планируется работа по сканированию и загрузке документов, должна быть установлена операционная система 
        Cистема Windows, поддерживающая .NET Framework 4.5:
            Windows 7 Service Pack 1;
            Windows Vista Service Pack 2,
            Windows 8, 
            Windows 8.1, 
            Windows Server 2008 SP2, 
            Windows Server 2012
        Полный перечень технически требований, предъявляемых платформой .NET Framework 4.5, приведён на странице Microsoft:
        http://www.microsoft.com/ru-RU/download/details.aspx?id=30653

        ","Да, вы сможете запустить скан-архив на Linux, так как программа ""Хранитель V"" предназначена для работы на Windows и Linux."
Что такое гендальф хранитель ?,"['\n            Данная программа предназначена для автоматического архивирования (создания резервных копий) данных по указанному пользователем расписанию.\n            «Хранитель V» автоматически запускается при включении компьютера и архивирует файлы, для которых подошел срок архивирования. Для каждого набора файлов программа хранит несколько архивных копий, что позволяет предотвратить потерю данных при возникновении сбоев в процессе работы. При раскрытии архива в непустой каталог существующие в каталоге файлы автоматически архивируются, поэтому после раскрытия архива существует возможность «отката» к исходным данным.\n            «Хранитель V» использует встроенную процедуру архивирования, полностью совместимую с PKZIP/WINZIP, и не требует внешнего архиватора.\n\n        ']","
        Данная программа предназначена для автоматического архивирования (создания резервных копий) данных по указанному пользователем расписанию.
        «Хранитель V» автоматически запускается при включении компьютера и архивирует файлы, для которых подошел срок архивирования. Для каждого набора файлов программа хранит несколько архивных копий, что позволяет предотвратить потерю данных при возникновении сбоев в процессе работы. При раскрытии архива в непустой каталог существующие в каталоге файлы автоматически архивируются, поэтому после раскрытия архива существует возможность «отката» к исходным данным.
        «Хранитель V» использует встроенную процедуру архивирования, полностью совместимую с PKZIP/WINZIP, и не требует внешнего архиватора.

        ","Гэндальф Хранитель - это программа, которая помогает организовать создание резервных копий данных для пользователей, как профессионалов, так и непрофессионалов. Она позволяет автоматизировать регулярное архивирование данных по гибкому расписанию, а также предоставляет возможность указать расписание автоматического архивирования для каждого набора данных."
Чем гендальф хранитель  отличается от Дозор?,"['\n        «Хранитель V» позволяет организовать создание резервных копий данных даже для непрофессиональных пользователей. Пользователям-профессионалам «Хранитель V» помогает автоматизировать регулярное архивирование большого количества данных по гибкому расписанию.\n        «Дозор. Мониторинг систем безопасности рабочей станции» предназначен для автоматизации мониторинга состояния безопасности рабочих станций путём контроля установки и настройки антивирусной защиты, доступа к запрещенным сайтам, а также проведение сканирования и отображение информации об установленном программном обеспечении.\n        ']","
        Хранитель позволяет организовать создание резервных копий данных. «Дозор. Мониторинг систем безопасности рабочей станции» предназначен для автоматизации мониторинга состояния рабочих станций путём контроля установки и настройки антивирусной защиты, доступа к запрещенным сайтам, а также проведение сканирования и отображение информации об установленном программном обеспечении.
        ","Гэндальф хранитель отличается от Дозор тем, что Гэндальф хранитель включает в себя несколько компонент (исполняемых файлов), каждая из которых выполняет свою часть работы, а также предусматривает стандартную систему подсказки и возможность создания разностных архивов."
Чем гендальф хранитель совместим с WinZip ?,"['\n        Технические характеристики: \n•\tпрограмма использует встроенную процедуру архивирования, полностью совместимую с PKZIP/PKUNZIP/WinZip. \n\n        ']","
       Да, программа использует встроенную процедуру архивирования, полностью совместимую с PKZIP/PKUNZIP/WinZip. 
        ","Гэндальф Хранитель совместим с WinZip, так как использует встроенную процедуру архивирования, которая полностью совместима с PKZIP/WINZIP."
А можно архивировать базы 1С:Предприятия  в архиваторе?,"['\n•\tДля архивирования информационных баз 1С:Предприятия, размещёнными на сервере MS SQL Server (реализовано только в «Хранителе V для сервера») на компьютере должна быть установлена поддержка механизма SQL-DMO. Для этого надо при установке «Хранителя V для сервера» на этот компьютер в диалоге инсталлятора «Выбор дополнительных действий» отметить флажок «Установить поддержку SQL-DMO».\n        ']","
       Да, Для архивирования информационных баз 1С:Предприятия, размещёнными на сервере MS SQL Server (реализовано только в «Хранителе V для сервера») на компьютере должна быть установлена поддержка механизма SQL-DMO. Для этого надо при установке «Хранителя V для сервера» на этот компьютер в диалоге инсталлятора «Выбор дополнительных действий» отметить флажок «Установить поддержку SQL-DMO».
        ","Да, можно архивировать базы 1С:Предприятия в архиваторе. Раздел для архивирования баз SQL можно создать автоматически, выбрав в меню ""Сервис"" команду ""Поиск информационных баз"" и отметив в списке найденных баз те, для которых требуется создание раздела. Также, ""Хранитель V"" может отслеживать появление новых баз и перемещение уже существующих, чтобы все ""рабочие"" базы архивировались."
Что такое разностные архивы  в архиваторе?,"['\n        Разностные архивы содержат только те файлы, которые изменились с момента создания последнего полного (не разностного) архива. Поэтому для большинства разделов разностные архивы занимают гораздо меньше места на диске, чем полные архивы. \n        ']","
        Разностные архивы содержат только те файлы, которые изменились с момента создания последнего полного (не разностного) архива. Поэтому для большинства разделов разностные архивы занимают гораздо меньше места на диске, чем полные архивы. 
        ","Разностные архивы в архиваторе - это архивы, которые содержат только измененные файлы с момента создания последнего полного архива. Их создание позволяет сократить размер архива и экономить место на диске. Для восстановления информации из разностного архива необходим также полный архив, на базе которого был создан данный разностный архив."
"Как  скопировать данные, сохраненные ранее в архиве, в каталог с данными.  в архиваторе?","['\n        Раскрыть (развернуть) архив — скопировать данные, сохраненные ранее в архиве, в каталог с данными. При этом файлы, находившиеся в каталоге данных до раскрытия архива, будут сохранены в резервном архиве и на их место будут записаны данные из раскрываемого архива. \n        ']","
       Вы можете раскрыть (развернуть) архив — скопировать данные, сохраненные ранее в архиве, в каталог с данными. При этом файлы, находившиеся в каталоге данных до раскрытия архива, будут сохранены в резервном архиве и на их место будут записаны данные из раскрываемого архива. 
        ","Для копирования данных, сохраненных ранее в архиве, в каталог с данными в архиваторе, необходимо выполнить следующие действия:

1. Запустить Менеджер Хранителя.
2. Выбрать раздел, содержащий данные из архива.
3. Выполнить раскрытие архива, выбрав соответствующий архив.
4. После раскрытия данных из архива, скопировать их в каталог с данными.

Это позволит вам успешно скопировать данные из архива в каталог с данными в архиваторе."
"Можно ли как то указать какие файлы архивировать, а какие нет  в архиваторе?","['\n        Шаблон (набор масок файлов) — фильтр для архивирования файлов. Задавая шаблон, Вы указываете, какие файлы из каталога данных следует заносить в архив. Например, если Вы зададите маску *.docx, то в архив будут занесены только файлы с расширением docx (т.е. файлы Word). Для того чтобы в архив заносились все файлы, расположенные в каталоге данных, можно указать шаблон *.*. Кроме того, Вы можете установить и маски для файлов, которые не надо архивировать. Например, если Вы укажете маску файлов, исключаемых из архивирования, «1Cv8tmp.*», то файлы, имена которых начинаются с «1Cv8tmp» (временные файлы базы 1С:Предприятие) не будут заноситься в архив. \n        ']","
     Да, вы можете задать шаблон, наобор масок файлов это — фильтр для архивирования файлов. Задавая шаблон, Вы указываете, какие файлы из каталога данных следует заносить в архив. Например, если Вы зададите маску *.docx, то в архив будут занесены только файлы с расширением docx (т.е. файлы Word). Для того чтобы в архив заносились все файлы, расположенные в каталоге данных, можно указать шаблон *.*. Кроме того, Вы можете установить и маски для файлов, которые не надо архивировать. Например, если Вы укажете маску файлов, исключаемых из архивирования, «1Cv8tmp.*», то файлы, имена которых начинаются с «1Cv8tmp» (временные файлы базы 1С:Предприятие) не будут заноситься в архив. 
        ","Да, в программе Гэндальф Хранитель V есть возможность указать, какие файлы архивировать, а какие нет. Для этого нужно задать параметры на странице файлов, включая каталог данных и шаблон (набор масок файлов), который определит, какие файлы будут включены в архив."
"Как сделать так, чтобы данные архивировались в определенное время.","['\n        Как сделать так, чтобы данные архивировались в определенное время.\n        Войдите в свойства раздела (команда «Параметры» в меню «Разделы»), на странице «Расписание» в списке «Время архивирования» выберите «В указанное время» и укажите требуемое время начала автоматического архивирования. \n        ']","
     Войдите в свойства раздела (команда «Параметры» в меню «Разделы»), на странице «Расписание» в списке «Время архивирования» выберите «В указанное время» и укажите требуемое время начала автоматического архивирования. 
        ","Для того, чтобы данные архивировались в определенное время, необходимо настроить параметры раздела в программе ""Хранитель V"" и установить флажок ""Производить автоматическое архивирование"" на странице ""Расписание"". Далее нужно указать расписание автоматического архивирования для данного раздела, определив дни и время, в которое архивирование должно происходить."
"Что делать, если при архивировании выдается сообщение «Файлы раздела ... заблокированы и не могут быть помещены в архив». В архиваторе","['\n        Что делать, если при архивировании выдается сообщение «Файлы раздела ... заблокированы и не могут быть помещены в архив».\nЭто сообщение означает, что какое-то другое приложение («1С:Предприятие» или MS Office) открыло файл в монопольном режиме и «Хранитель V» не может занести этот файл в архив. Рекомендуется прервать архивирование, выйти из программы, которая заблокировала файл и запустить процедуру архивирования повторно.\n\n        ']","
Это сообщение означает, что какое-то другое приложение («1С:Предприятие» или MS Office) открыло файл в монопольном режиме и «Хранитель V» не может занести этот файл в архив. Рекомендуется прервать архивирование, выйти из программы, которая заблокировала файл и запустить процедуру архивирования повторно.
        ","Если при архивировании выдается сообщение ""Файлы раздела ... заблокированы и не могут быть помещены в архив"", это означает, что какое-то другое приложение (например, ""1С:Предприятие"" или MS Office) открыло файл в монопольном режиме, и ""Хранитель V"" не может занести этот файл в архив. Рекомендуется прервать архивирование, выйти из программы, которая заблокировала файл, и запустить процедуру архивирования повторно."
У меня не сохраняется файл с большим именем в архиваторе.,"['\nОграничения.\n«Хранитель V» выполняет запись на CD/DVD в формате, совместимом со стандартом ISO-9660. Поэтому имеются следующие ограничения на имена архивов и каталогов:\n•\tимя каталога не должно содержать больше 8 символов;\n•\tимя файла (включая расширение) не должно содержать больше 31 символа;\n•\tколичество уровней вложенности каталогов не должно превышать 8.\nПрограмма автоматически проверяет пути, указываемые при настройке, на соответствие данным ограничениям. Если путь им не соответствует, то появится предупреждение об этом, и Вы должны будете изменить настройки. Наиболее существенным является ограничение на длину имени файла архива. А поскольку имя архива формируется на основе имени раздела, рекомендуется устанавливать разделам имена, имеющие не более 15 символов.\n\n        ']","

Это связано с тем, что «Хранитель V» выполняет запись на CD/DVD в формате, совместимом со стандартом ISO-9660. Поэтому имеются следующие ограничения на имена архивов и каталогов:
•	имя каталога не должно содержать больше 8 символов;
•	имя файла (включая расширение) не должно содержать больше 31 символа;
•	количество уровней вложенности каталогов не должно превышать 8.
Программа автоматически проверяет пути, указываемые при настройке, на соответствие данным ограничениям. Если путь им не соответствует, то появится предупреждение об этом, и Вы должны будете изменить настройки. Наиболее существенным является ограничение на длину имени файла архива. А поскольку имя архива формируется на основе имени раздела, рекомендуется устанавливать разделам имена, имеющие не более 15 символов.

        ","Возможно, проблема с сохранением файла с большим именем в архиваторе связана с ограничениями операционной системы или самого архиватора. Рекомендуется проверить настройки программы и операционной системы, а также попробовать сократить длину имени файла перед сохранением. Если проблема сохранится, обратитесь за помощью к технической поддержке программы."
"Как я увижу список файлов в Хранитель архиваторе, которые я архвировал","['\n6.6\tПросмотр содержимого архива\nДля каждого архива, созданного в программе «Хранитель V», существует возможность просмотреть список хранящихся в нем файлов, а также некоторые общие свойства архива. Для этого надо:\n•\tзапустить Менеджер Хранителя;\n•\tвыбрать архив в окне архивов;\n•\tв меню «Архивы» выбрать команду «Просмотр содержимого». \nНа экране появится окно свойств архива. В этом окне отображаются файлы, содержащиеся в архиве. Для разностных архивов отображаются также файлы, которых нет в самом разностном архиве, но которые есть в базовом полном архиве. \n\n        ']","
Для каждого архива, созданного в программе «Хранитель V», существует возможность просмотреть список хранящихся в нем файлов, а также некоторые общие свойства архива. Для этого надо:
•	запустить Менеджер Хранителя;
•	выбрать архив в окне архивов;
•	в меню «Архивы» выбрать команду «Просмотр содержимого». 
На экране появится окно свойств архива. В этом окне отображаются файлы, содержащиеся в архиве. Для разностных архивов отображаются также файлы, которых нет в самом разностном архиве, но которые есть в базовом полном архиве. 

        ","Для просмотра списка файлов в Хранителе архиваторе, которые были архивированы, необходимо запустить Менеджер Хранителя и выбрать соответствующий архив для просмотра содержимого."
